Title,Desc_of_movies,IMDB_ID,Directors,Actors,Genres,Languages
Mystery Science Theater 3000 ," The cult hit returns! Captured by mad scientists, new host Jonah survives a blitz of cheesy B movies by riffing on them with his funny robot pals.",94517,NAN,"Kevin Murphy, Trace Beaulieu, Jim Mallon, Michael J. Nelson, Frank Conniff, Joel Hodgson, Mary Jo Pehl, Bill Corbett, Patrick Brantseg, Alexandra Carr, Paul Chaplin, J. Elvis Weinstein, Bridget Jones, Beez McKeever, Peter Rudrud, Bradley J. Keely, Nathan Molstead, Timothy Scott, Barb Tebben, Faye Burkholder, Jim Smith, Robert Czech, Jef Maynard, Eli Kenneth Mallon, Daniel Breyer, Ralph Smith, Linda Smith, Crist Ballas, Christopher Wurst, Mike Dodge, Jack Beaulieu, Brent Peterson, Tom McKeever, Amy Kane, David Sussman, Ben Mooers, Robert Smith, Nick Prueher, Tim Paulson, Helena Espinosa, Dan Tanz, Kelly Schrandt, Ben Bakken, Andrea Jackson DuCane, Ari Hoptman, Katie Johnson, Mikey Johnson, Anne Kleinschmidt, Joe Kleinschmidt, Marie Kleinschmidt","Comedy, Sci-Fi",English
Mystic Whispers ,"After a car accident enables a young woman to hear mysterious sounds, she meets a mortician. Together, they listen to ghosts and try to help them.",8834748,NAN,Romeo Tan,"Comedy, Mystery, Romance",Chinese
Mythily Veendum Varunnu ,"After losing her father, a young woman moves to the city to earn money. When she finds a job at a mysterious bungalow, her worst nightmares come true.",7160842,Sabu Varghese,"Shivani Bhai, Kiran Raj, I.M. Vijayan",Horror,Malayalam
Naa Bangaaru Talli ,"A father leading a dark double life and his daughter, who's eager to pursue her studies in Hyderabad, face the tragic consequences of sex trafficking.",4083622,Rajesh Touchriver,"Siddique, Anjali Patil, Lakshmi Menon, Nina Kurup, Rathna Shekar Reddy, Anoop Aravindan, Patil Anjali, Sunil Kudavattoor","Crime, Drama, Family, Thriller",Telugu
Naam Shabana ,"A fiery young woman accepts help from a spy agency to avenge her lover's murder. In return, she must prove herself as one of their top recruits.",6170954,Shivam Nair,"Taapsee Pannu, Akshay Kumar, Manoj Bajpayee, Taher Shabbir, Virendra Saxena, Prithviraj Sukumaran, Danny Denzongpa, Madhurima Tuli, Murli Sharma, Anupam Kher, Mohan Kapur, Bhuvan Arora, Elli Avrram, Rajesh Bhati, Shiva Dagar, Shibani Dandekar, Zakir Hussain, Vikram Mehra, Jagannath Nivangune, Natasha Rastogi, Amarjeet Singh, Denzil Smith, Aparna Upadhyay, Aman Uppal, Manav Vij","Action, Thriller",Hindi
Naan Sigappu Manithan ,"After his sleeping disorder hinders him from protecting his girlfriend, a man sets out to take revenge on the thugs who attacked her.",3569788,Thiru,"Vishal, Lakshmi Menon, Iniya, Saranya Ponvannan, V. Jayaprakash, Sunder Ramu, Jagan, Chethan Cheenu, Pyramid Natarajan, Jayabalan, Prinz Nithik, Nisha Krishnan","Action, Drama, Thriller","Tamil, Telugu"
Nadiya's Time to Eat ,"On this cooking show, Nadiya Hussain serves up delicious shortcuts, vital ingredients and fast favorites -- perfect for today's time-strapped families.",No ID found,NAN,NAN,NAN,NAN
Nailed It! ," Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",6987788,NAN,"Nicole Byer, Jacques Torres, Weston Bahr, Charity George, Dave Arnold, Ron Ben-Israel, Bobby Berk, Karamo Brown, Erin Crocker, Tan France, Jon Gabrus, Valerie Gordon, Johnny Hekker, Ashley Jennings, Alexis Keppler, Waylynn Lucas, Antoni Porowski, Joshua John Russell, Art Smith, Jonathan Van Ness, Sal Venturelli, Sylvia Weinstock, Michelle Wodynski, Zac Young, Felicia Day, Hubert Keller, Rosanna Pansino, Charles Phoenix, Natalie Sideserf, Betsy Sodaro, Matt Walsh, Jon Neill",Reality-TV,English
Nailed It! Holiday! ," It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",8760264,NAN,"Nicole Byer, Jacques Torres, Charity George, Jason Mantzoukas, Beverly Blanchette, Lauren Lapkus, Sal Venturelli, Sylvia Weinstock, Justin Willman, Jillian Bell, Ron Ben-Israel, Bridget Everett, Justin Ryan Madriaga, Maya Rudolph, Paul Scheer, Kelvin Truitt",Reality-TV,English
Naked ,"Rob's madly in love and about to be married. Unfortunately, he's also naked, stuck in an elevator and caught in a time loop.",6048930,Michael Tiddes,"Marlon Wayans, Regina Hall, Dennis Haysbert, J.T. Jackson, Scott Foley, Eliza Coupe, Brian McKnight, Loretta Devine, Cory Hardrict, Rick Fitts, Dave Sheridan, Neil Brown Jr., Nikeva Stapleton, David Dwyer, Conor Brophy, Jarod Valvo, Jason Davis, Megan Messmer, Matthew Cornwell, Dan Johnson, Sean Von Buseck, Jesse Malinowski, Nick Madrick, Joel Rush, Jwaundace Candece, Labrandon Shead, Elliott Dixon, Aniria Turney, Michael Smallwood, Kevin Patrick Murphy, Philip Fornah, James Tabeek, Alexis Miranda, Christopher Ammanuel, Ruby Barnes, Thomas D. Barnes, Rob Bouton, Melissa Collazo, Jeff Coopwood, Graham P. Deas, Felicia Dee, Erika Diamond, Aerielle Dodson, Olivia Dodson, Amy Edwards, Robert L. Edwards, David Dman Escobar, A. Ali Flores, Dirk Forbes, Derwin Frank, Shavone Gadsden, Brent Moorer Gaskins, Koby Griffin, Jules Haven, Lindsay Hibbard, Thomas Mark Higgins, Julian Jackson, Minka Kelly, Maritalyn Koulebetouba, Jack Landry, Kimberly Leemans, Judd Lormand, Villa Mane, Marilyn Manente, Tyrone Neal, Nelly Marie Osorio, Sherri Robinson, Jaisha Smalls, Brittany Myra Smith, Jeremy Sykes, Preston Thacker, Jacquelyn Updike, Samantha Updike, Erica Veal, Diego Ward, Aaron Waring","Comedy, Fantasy, Romance",English
The Naked Gun: From the Files of Police Squad! ,Hapless cop Frank Drebin causes more problems than he solves while trying to stop a deadly plot involving Queen Elizabeth II.,No ID found,NAN,NAN,NAN,NAN
Naledi: A Baby Elephant's Tale , Scientists and animal keepers fight to save an orphaned baby elephant at a rescue camp in Botswana while struggling to defend its entire species.,5709762,"Ben Bowie, Geoffrey Luck",NAN,Documentary,English
Namak Halaal ,"While loyally defending his boss from mobsters trying to kill him, a naive, hotel bellboy discovers the family he never knew he had.",84385,Prakash Mehra,"Waheeda Rehman, Shashi Kapoor, Amitabh Bachchan, Smita Patil, Parveen Babi, Om Prakash, Ranjeet, Satyendra Kapoor, Ram P. Sethi, Kamal Kapoor, Chandrashekhar, Ashalata Wabgaonkar, Dev Kumar, Harish Magon, Nandita Thakur, Viju Khote, Suresh Oberoi, Bob Christo, Dinesh Hingoo, H.N. Kalla, Moolchand, Surekha-Aishwarya Rane, Rahul Singh, Tun Tun, Pahelwan, Jennifer Stone","Action, Comedy, Drama",Hindi
Namastey London ,"To her Indian parents' dismay, London-born Jasmeet ""Jazz"" Malhotra longs for everything Western, including her British boyfriend. On a family trip to India, her father arranges Jazz's nuptials to Arjun Ballu Singh, who's smitten with his new bride.",795434,Vipul Amrutlal Shah,"Akshay Kumar, Katrina Kaif, Rishi Kapoor, Clive Standen, Upen Patel, Javed Sheikh, Tiffany Mulheron, Nina Wadia, Shaana Levy, Riteish Deshmukh, Aanchal, Baby Aditi, Master Gurjap Aulakh, Ishita Awasthi, Ayushi, Dimple Bagroy, Neelam Bakshi, Manpreet Banga, Master Atul Banmoria, Amritpal Billa, Ray Callaghan, Shruti Chauhan, Jaswant Daman, Veer Das, Renato De Fazio, Sandra De Sousa, Poonam Dhillon, Khushi Dubey, Gagan Duggal, Hal Dyer, Amber Elizabeth, Richard Field, Liam Evans Ford, Gurpreet Ghuggi, Paul Gregory, Kanchan Gupta, Gurkirtan, Laurie Hagen, Libby Hayter, Elizabeth Holland, Rebecca James, Ryan Jenkins, Chander Kalra, Kiran, Gogi Kohli, Kunal Kumar, Mehak, Lindsay Morton, Paramjeet Pallu, Prem Punita, Sagar Radia, Ranjeet, Alex Russel, Teji Sandhu, Vinerjeet Jaur Sandhu, Chandni Sharma, Vaishali Sharma, Rod Silvers, Master Harmanpreet Singh, Ranjeet Singh, Baby Bipasha Sood, Ekta Sood, Rubina Thakur, Shailza Thakur, Jatiin Virmani, Master Vishal, Paul Williamson, Chris Wilson, Simon Wright, Avinash Yadav, Steve Motion, Sarah-Jane Sherwood","Comedy, Drama, Romance","Hindi, German, Italian"
Nang Nak ,"In this adaptation of a Thai folk tale, a man returns from war to his family, unaware of a sad secret about what happened to them while he was away.",217680,Nonzee Nimibutr,"Inthira Charoenpura, Winai Kraibutr, Manit Meekaewjaroen, Pramote Suksatit, Pracha Thawongfia","Horror, Romance, War",Thai
